,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
dL[569],14.745,0.418,14.423,15.144,0.031,0.022,410.0,260.0,1.01
dL[570],9.619,0.234,9.501,9.797,0.019,0.013,603.0,229.0,1.01
dL[571],2.035,0.025,2.023,2.051,0.001,0.001,997.0,365.0,1.0
dL[572],11.592,0.301,11.424,11.854,0.023,0.017,542.0,235.0,1.01
dL[573],6.904,0.15,6.837,7.0,0.012,0.009,449.0,233.0,1.01
dL[574],7.725,0.174,7.644,7.841,0.014,0.01,534.0,235.0,1.01
dL[575],10.328,0.258,10.199,10.537,0.02,0.014,590.0,237.0,1.01
dL[576],13.714,0.378,13.426,14.048,0.028,0.02,447.0,243.0,1.01
dL[577],10.983,0.28,10.835,11.218,0.022,0.016,569.0,236.0,1.01
dL[578],2.914,0.043,2.897,2.94,0.003,0.002,764.0,354.0,1.0
dL[579],0.843,0.007,0.84,0.847,0.0,0.0,641.0,1114.0,1.01
dL[580],2.982,0.045,2.964,3.009,0.003,0.002,729.0,354.0,1.0
dL[581],8.711,0.205,8.606,8.852,0.017,0.012,595.0,228.0,1.01
dL[582],2.251,0.029,2.238,2.27,0.002,0.001,1004.0,350.0,1.0
dL[583],9.27,0.223,9.161,9.436,0.018,0.013,603.0,223.0,1.01
dL[584],3.633,0.06,3.61,3.669,0.004,0.003,501.0,340.0,1.01
dL[585],9.601,0.234,9.484,9.779,0.019,0.013,603.0,229.0,1.01
dL[586],5.794,0.118,5.745,5.87,0.01,0.007,374.0,255.0,1.01
dL[587],1.382,0.014,1.375,1.391,0.001,0.0,857.0,461.0,1.0
dL[588],10.897,0.277,10.749,11.124,0.022,0.015,572.0,237.0,1.01
dL[589],15.599,0.452,15.258,16.067,0.033,0.024,384.0,268.0,1.01
dL[590],12.031,0.317,11.835,12.301,0.024,0.017,522.0,235.0,1.01
dL[591],8.684,0.204,8.58,8.824,0.017,0.012,594.0,228.0,1.01
dL[592],9.009,0.215,8.905,9.165,0.017,0.012,601.0,223.0,1.01
dL[593],11.212,0.288,11.056,11.455,0.022,0.016,560.0,233.0,1.01
dL[594],11.89,0.312,11.709,12.166,0.024,0.017,528.0,234.0,1.01
dL[595],9.744,0.238,9.626,9.929,0.019,0.014,602.0,229.0,1.01
dL[596],11.764,0.307,11.589,12.034,0.024,0.017,534.0,235.0,1.01
dL[597],1.173,0.011,1.167,1.18,0.001,0.0,780.0,596.0,1.0
dL[598],13.813,0.382,13.521,14.151,0.028,0.02,443.0,242.0,1.01
dL[599],6.989,0.152,6.917,7.085,0.013,0.009,454.0,233.0,1.01
dL[600],12.793,0.344,12.574,13.11,0.026,0.018,486.0,242.0,1.01
dL[601],0.776,0.006,0.773,0.78,0.0,0.0,639.0,738.0,1.01
dL[602],5.828,0.119,5.779,5.904,0.01,0.007,375.0,255.0,1.01
dL[603],1.11,0.01,1.105,1.116,0.0,0.0,775.0,669.0,1.0
dL[604],3.469,0.056,3.448,3.504,0.004,0.003,544.0,347.0,1.01
dL[605],7.352,0.163,7.281,7.463,0.013,0.01,489.0,232.0,1.01
dL[606],3.6,0.059,3.577,3.637,0.004,0.003,508.0,345.0,1.01
dL[607],2.524,0.035,2.51,2.546,0.002,0.002,947.0,353.0,1.0
dL[608],10.86,0.276,10.713,11.085,0.022,0.015,574.0,236.0,1.01
dL[609],3.736,0.063,3.713,3.775,0.005,0.003,479.0,336.0,1.01
dL[610],1.723,0.019,1.713,1.736,0.001,0.001,925.0,404.0,1.0
dL[611],7.659,0.172,7.58,7.774,0.014,0.01,526.0,229.0,1.01
dL[612],2.556,0.035,2.543,2.58,0.002,0.002,938.0,347.0,1.0
dL[613],9.875,0.243,9.752,10.064,0.019,0.014,600.0,226.0,1.01
dL[614],15.013,0.428,14.687,15.435,0.032,0.022,401.0,260.0,1.01
dL[615],12.712,0.341,12.497,13.025,0.026,0.018,490.0,242.0,1.01
dL[616],15.461,0.446,15.127,15.92,0.033,0.023,387.0,268.0,1.01
dL[617],2.491,0.034,2.477,2.512,0.002,0.002,959.0,351.0,1.0
dL[618],1.445,0.014,1.438,1.455,0.001,0.001,869.0,453.0,1.0
dL[619],2.01,0.024,1.999,2.026,0.001,0.001,994.0,364.0,1.0
dL[620],0.575,0.004,0.573,0.577,0.0,0.0,1156.0,549.0,1.0
dL[621],0.957,0.008,0.953,0.961,0.0,0.0,754.0,991.0,1.01
dL[622],1.917,0.023,1.906,1.932,0.001,0.001,975.0,371.0,1.0
dL[623],9.324,0.225,9.214,9.492,0.018,0.013,604.0,224.0,1.01
dL[624],2.092,0.026,2.08,2.109,0.002,0.001,1004.0,356.0,1.0
dL[625],13.336,0.364,13.104,13.691,0.027,0.019,462.0,243.0,1.01
dL[626],1.732,0.019,1.723,1.745,0.001,0.001,927.0,375.0,1.0
dL[627],12.967,0.351,12.743,13.295,0.026,0.019,478.0,246.0,1.01
dL[628],10.351,0.259,10.221,10.561,0.02,0.015,590.0,237.0,1.01
dL[629],9.931,0.245,9.809,10.124,0.02,0.014,599.0,229.0,1.01
dL[630],3.839,0.065,3.815,3.88,0.005,0.004,462.0,333.0,1.01
dL[631],12.03,0.317,11.834,12.3,0.024,0.017,522.0,235.0,1.01
dL[632],13.446,0.368,13.198,13.796,0.028,0.02,458.0,243.0,1.01
dL[633],2.714,0.039,2.699,2.738,0.003,0.002,865.0,349.0,1.0
dL[634],6.116,0.127,6.059,6.194,0.01,0.007,388.0,246.0,1.01
dL[635],14.175,0.396,13.883,14.546,0.029,0.021,429.0,242.0,1.01
dL[636],8.274,0.191,8.188,8.411,0.016,0.011,579.0,230.0,1.01
dL[637],8.562,0.2,8.46,8.697,0.016,0.012,591.0,229.0,1.01
dL[638],2.858,0.042,2.841,2.883,0.003,0.002,794.0,354.0,1.0
dL[639],6.026,0.124,5.969,6.102,0.01,0.007,384.0,258.0,1.01
dL[640],9.703,0.237,9.585,9.885,0.019,0.013,603.0,229.0,1.01
dL[641],3.334,0.053,3.314,3.367,0.004,0.003,587.0,350.0,1.01
dL[642],14.324,0.402,14.027,14.702,0.03,0.021,424.0,242.0,1.01
dL[643],15.607,0.452,15.265,16.074,0.033,0.024,383.0,268.0,1.01
dL[644],10.396,0.26,10.266,10.608,0.021,0.015,588.0,236.0,1.01
dL[645],10.135,0.251,10.01,10.337,0.02,0.014,595.0,230.0,1.01
dL[646],14.302,0.401,14.005,14.679,0.03,0.021,424.0,242.0,1.01
dL[647],7.322,0.162,7.251,7.432,0.013,0.01,486.0,227.0,1.01
dL[648],8.543,0.2,8.44,8.677,0.016,0.012,590.0,229.0,1.01
dL[649],1.669,0.018,1.659,1.681,0.001,0.001,912.0,427.0,1.0
dL[650],5.814,0.118,5.765,5.89,0.01,0.007,375.0,255.0,1.01
dL[651],6.014,0.124,5.957,6.089,0.01,0.007,383.0,258.0,1.01
dL[652],9.302,0.224,9.192,9.468,0.018,0.013,604.0,223.0,1.01
dL[653],3.633,0.06,3.61,3.67,0.004,0.003,501.0,340.0,1.01
