,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.697,0.006,0.693,0.7,0.0,0.0,482.0,359.0,1.01
Omega_m,0.294,0.017,0.27,0.318,0.001,0.001,329.0,251.0,1.02
dL[0],2.372,0.023,2.359,2.383,0.001,0.001,741.0,534.0,1.01
dL[1],0.657,0.006,0.654,0.659,0.0,0.0,762.0,432.0,1.01
dL[2],6.119,0.068,6.058,6.185,0.004,0.003,454.0,373.0,1.01
dL[3],12.319,0.164,12.132,12.518,0.01,0.007,382.0,331.0,1.01
dL[4],0.865,0.008,0.862,0.868,0.0,0.0,1106.0,805.0,1.01
dL[5],10.489,0.134,10.352,10.655,0.008,0.006,393.0,337.0,1.01
dL[6],2.601,0.025,2.587,2.615,0.001,0.001,681.0,524.0,1.01
dL[7],10.269,0.131,10.127,10.42,0.008,0.006,394.0,337.0,1.01
dL[8],11.353,0.148,11.189,11.531,0.009,0.006,387.0,335.0,1.01
dL[9],5.296,0.057,5.249,5.348,0.003,0.002,470.0,381.0,1.01
dL[10],7.56,0.089,7.478,7.659,0.005,0.004,425.0,348.0,1.01
dL[11],7.254,0.085,7.171,7.34,0.005,0.003,430.0,348.0,1.01
dL[12],6.88,0.079,6.805,6.959,0.005,0.003,437.0,355.0,1.01
dL[13],2.141,0.021,2.132,2.151,0.001,0.001,827.0,535.0,1.0
dL[14],13.328,0.181,13.122,13.556,0.011,0.008,378.0,331.0,1.02
dL[15],2.137,0.021,2.127,2.146,0.001,0.001,829.0,535.0,1.0
dL[16],14.326,0.198,14.082,14.564,0.012,0.009,374.0,331.0,1.02
dL[17],2.074,0.02,2.065,2.083,0.001,0.001,859.0,535.0,1.0
dL[18],2.595,0.025,2.581,2.608,0.001,0.001,683.0,524.0,1.01
dL[19],4.232,0.044,4.201,4.267,0.002,0.002,503.0,396.0,1.01
dL[20],2.033,0.02,2.024,2.041,0.001,0.001,881.0,539.0,1.0
dL[21],13.781,0.188,13.565,14.021,0.012,0.008,376.0,331.0,1.02
dL[22],2.313,0.022,2.302,2.324,0.001,0.001,759.0,525.0,1.01
dL[23],1.689,0.016,1.682,1.695,0.001,0.001,1149.0,660.0,1.0
dL[24],0.583,0.006,0.581,0.585,0.0,0.0,703.0,404.0,1.01
dL[25],10.537,0.135,10.398,10.704,0.008,0.006,392.0,337.0,1.01
dL[26],7.403,0.087,7.325,7.499,0.005,0.004,428.0,347.0,1.01
dL[27],12.007,0.159,11.831,12.203,0.01,0.007,383.0,340.0,1.01
dL[28],8.535,0.104,8.428,8.648,0.006,0.004,412.0,346.0,1.01
dL[29],1.218,0.012,1.214,1.222,0.001,0.0,1965.0,1564.0,1.0
dL[30],7.318,0.085,7.24,7.412,0.005,0.003,429.0,349.0,1.01
dL[31],1.767,0.017,1.759,1.773,0.001,0.001,1071.0,652.0,1.0
dL[32],6.778,0.078,6.71,6.861,0.004,0.003,439.0,355.0,1.01
dL[33],8.117,0.097,8.018,8.22,0.006,0.004,417.0,348.0,1.01
dL[34],2.601,0.025,2.588,2.615,0.001,0.001,681.0,524.0,1.01
dL[35],11.503,0.15,11.336,11.685,0.009,0.007,386.0,340.0,1.01
dL[36],6.645,0.076,6.573,6.719,0.004,0.003,443.0,355.0,1.01
dL[37],5.009,0.054,4.967,5.056,0.003,0.002,476.0,379.0,1.01
dL[38],0.613,0.006,0.61,0.615,0.0,0.0,725.0,400.0,1.01
dL[39],12.06,0.16,11.879,12.254,0.01,0.007,383.0,340.0,1.01
dL[40],1.372,0.013,1.367,1.377,0.001,0.0,1674.0,1155.0,1.0
dL[41],15.616,0.22,15.341,15.885,0.014,0.01,371.0,273.0,1.02
dL[42],12.709,0.17,12.513,12.918,0.011,0.007,380.0,331.0,1.01
dL[43],9.099,0.112,8.981,9.224,0.007,0.005,406.0,345.0,1.01
dL[44],13.739,0.188,13.524,13.978,0.012,0.008,376.0,331.0,1.02
dL[45],10.492,0.134,10.355,10.658,0.008,0.006,393.0,337.0,1.01
dL[46],11.982,0.158,11.806,12.177,0.01,0.007,383.0,340.0,1.01
