0.096, 0.44, 0.016
0.218, 1.08, 0.052000000000000005
0.098, 0.45, 0.0185
0.201, 0.99, 0.0435
0.071, 0.32, 0.0115
0.499, 2.84, 0.13799999999999998
0.209, 1.03, 0.0355
0.128, 0.6, 0.0185
0.009, 0.04, 0.0010999999999999998
0.214, 1.06, 0.04
0.362, 1.94, 0.0935
0.299, 1.55, 0.05
0.155, 0.74, 0.0155
0.6, 3.55, 0.1965
0.721, 4.45, 0.22999999999999998
0.505, 2.88, 0.1375
0.403, 2.2, 0.137
0.036, 0.16, 0.007000000000000001
0.081, 0.37, 0.017
0.282, 1.45, 0.066
0.278, 1.43, 0.05500000000000001
0.381, 2.06, 0.08399999999999999
0.678, 4.13, 0.24100000000000002
0.349, 1.86, 0.123
0.453, 2.53, 0.1375
0.65, 3.92, 0.207
0.246, 1.24, 0.0485
0.447, 2.49, 0.186
0.477, 2.69, 0.14550000000000002
0.494, 2.81, 0.14950000000000002
0.183, 0.89, 0.0465
0.381, 2.06, 0.0745
0.717, 4.42, 0.22599999999999998
0.161, 0.77, 0.0375
0.181, 0.88, 0.036
0.653, 3.94, 0.22949999999999998
0.164, 0.79, 0.0505
0.565, 3.3, 0.152
0.179, 0.87, 0.0315
0.565, 3.3, 0.20550000000000002
0.56, 3.27, 0.1765
0.054, 0.24, 0.0045
0.392, 2.13, 0.0795
0.307, 1.6, 0.061
0.63, 3.77, 0.2745
0.284, 1.46, 0.0805
0.31, 1.62, 0.066
0.122, 0.57, 0.022
0.392, 2.13, 0.23500000000000001
0.159, 0.76, 0.034
