# Derived from /data/raw/Snia.txt to include only redshift, magnitude and magnitude error in a .csv format

zcmb,mb,dmb
0.72668,23.90005,0.1628
0.72767,23.8687,0.19785
0.73012,23.7684,0.19115
0.73362,23.8481,0.15575
0.73401,24.04855,0.24055
0.735,23.70605,0.134
0.73501,24.09175,0.17825
0.73561,24.06925,0.19205
0.73602,24.02845,0.2108
0.73669,23.77845,0.1399
0.74,23.8446,0.12605
0.74202,24.26275,0.21515
0.7427,23.92255,0.19885
0.74566,24.00735,0.1527
0.74613,23.8056,0.16465
0.74909,23.81055,0.18275
0.75068,23.763,0.19155
0.75669,24.03965,0.1583
0.75905,24.0557,0.15165
0.7607,23.92525,0.14995
0.76108,24.05415,0.16035
0.76159,23.97575,0.15445
0.7656,24.10805,0.1549
0.7666,24.24705,0.1593
0.76668,24.2307,0.1806
0.76706,24.3849,0.17855
0.76859,24.2078,0.16885
0.77307,24.17605,0.17625
0.7766,24.0942,0.17835
0.78805,24.1069,0.13815
0.78904,24.2188,0.11585
0.79656,23.85445,0.1588
0.79857,24.3605,0.17435
0.8007,23.82255,0.1606
0.80569,24.0139,0.1301
0.80569,24.09575,0.1555
0.80603,24.2544,0.1837
0.80804,24.55735,0.16345
0.80902,24.20795,0.1668
0.81072,24.0795,0.17055
0.81369,24.26675,0.14105
0.81773,24.3431,0.12085
0.82212,24.1676,0.18525
0.82269,24.3356,0.14625
0.82854,24.39785,0.1526
0.83699,24.3054,0.1427
0.83814,24.1545,0.1807
0.83999,24.0253,0.15175
0.84053,24.22255,0.1456
0.84214,24.3261,0.1858
0.84797,24.3105,0.16975
0.84852,24.33175,0.14855
0.85073,24.31865,0.1304
0.85298,24.3052,0.1508
0.854,24.3128,0.21455
0.85851,24.4442,0.16535
0.85852,24.1237,0.1478
0.85852,24.54425,0.17845
0.86397,24.39625,0.15285
0.8645,24.3693,0.14625
0.8665,24.34685,0.17385
0.87217,24.3402,0.1332
0.87796,24.42165,0.14325
0.89073,24.1804,0.14085
0.8932,24.5781,0.1577
0.89693,24.40275,0.16645
0.90173,24.5128,0.1511
0.91075,24.6116,0.16365
0.91348,24.37895,0.13735
0.92223,24.355,0.1708
0.92224,24.57175,0.18725
0.92491,24.7416,0.1923
0.92624,24.7687,0.10935
0.9279,24.7789,0.1829
0.93189,24.54795,0.15235
0.93225,24.704,0.21015
0.93389,24.7653,0.2009
0.935,24.2666,0.1658
0.93675,24.4717,0.1405
0.94688,24.41155,0.1642
0.94846,24.66675,0.15105
0.95076,24.68515,0.14485
0.95886,24.80665,0.17245
0.96074,24.80925,0.14255
0.96075,24.5736,0.1577
0.97,25.11545,0.26175
0.9752,24.7061,0.13985
0.9833,24.78095,0.143
0.98341,24.828,0.153
0.98377,24.92305,0.1439
0.9964,24.69965,0.1408
0.99781,24.6122,0.0953
1.00279,25.0798,0.19135
1.014,24.85445,0.2291
1.02,24.88235,0.1657
1.02879,24.7289,0.16015
1.0608,24.6873,0.16415
1.092,24.63835,0.26405
1.12,25.0639,0.1649
1.206,25.73935,0.3352
1.23,25.28615,0.19155
1.23,25.4985,0.17085
1.3,25.52015,0.17875
1.305,25.2642,0.235
1.315,25.54235,0.1987
1.33,25.6034,0.1484
1.34,25.4652,0.1632
1.37,25.5159,0.1622
1.39,25.36305,0.20125
1.54,25.9072,0.21065
1.55,26.00705,0.18565
1.7,26.0592,0.2832
1.8,26.2011,0.18795
1.914,26.1609,0.2559
2.26,26.877,0.2548
