,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.686,0.024,0.64,0.73,0.0,0.0,7984.0,6262.0,1.0
Omega_m,0.284,0.009,0.267,0.301,0.0,0.0,10390.0,8962.0,1.0
M,2.191,3.801,-4.254,8.776,0.043,0.03,6063.0,3497.0,1.0
dL[0],0.455,0.015,0.427,0.482,0.0,0.0,11805.0,10275.0,1.0
dL[1],0.366,0.012,0.344,0.388,0.0,0.0,11790.0,10298.0,1.0
dL[2],0.486,0.016,0.455,0.514,0.0,0.0,11713.0,10203.0,1.0
dL[3],0.246,0.008,0.231,0.261,0.0,0.0,10978.0,10210.0,1.0
dL[4],0.308,0.01,0.29,0.326,0.0,0.0,11513.0,10092.0,1.0
dL[5],0.475,0.016,0.446,0.503,0.0,0.0,11747.0,10252.0,1.0
dL[6],0.381,0.012,0.358,0.403,0.0,0.0,11828.0,10240.0,1.0
dL[7],0.107,0.004,0.1,0.114,0.0,0.0,9168.0,7565.0,1.0
dL[8],0.44,0.014,0.413,0.466,0.0,0.0,11834.0,10295.0,1.0
dL[9],0.381,0.012,0.358,0.403,0.0,0.0,11828.0,10240.0,1.0
dL[10],0.289,0.009,0.272,0.306,0.0,0.0,11369.0,10128.0,1.0
dL[11],0.859,0.033,0.797,0.917,0.0,0.0,8334.0,6579.0,1.0
dL[12],0.729,0.026,0.682,0.779,0.0,0.0,9368.0,8305.0,1.0
dL[13],0.832,0.031,0.773,0.888,0.0,0.0,8499.0,6912.0,1.0
dL[14],0.139,0.005,0.13,0.147,0.0,0.0,9691.0,8233.0,1.0
dL[15],0.361,0.012,0.34,0.383,0.0,0.0,11775.0,10268.0,1.0
dL[16],0.303,0.01,0.285,0.321,0.0,0.0,11480.0,10188.0,1.0
dL[17],0.666,0.023,0.624,0.71,0.0,0.0,10113.0,9177.0,1.0
dL[18],0.43,0.014,0.404,0.455,0.0,0.0,11846.0,10276.0,1.0
dL[19],0.157,0.005,0.147,0.167,0.0,0.0,9983.0,8877.0,1.0
dL[20],0.516,0.017,0.484,0.547,0.0,0.0,11587.0,10198.0,1.0
dL[21],0.222,0.007,0.209,0.236,0.0,0.0,10731.0,10209.0,1.0
dL[22],0.465,0.015,0.437,0.493,0.0,0.0,11778.0,10276.0,1.0
dL[23],0.401,0.013,0.376,0.424,0.0,0.0,11854.0,10278.0,1.0
dL[24],0.08,0.003,0.075,0.085,0.0,0.0,8786.0,7249.0,1.0
dL[25],0.218,0.007,0.205,0.231,0.0,0.0,10680.0,10151.0,1.0
dL[26],0.794,0.029,0.738,0.846,0.0,0.0,8758.0,7237.0,1.0
dL[27],0.496,0.016,0.465,0.525,0.0,0.0,11675.0,10230.0,1.0
dL[28],0.204,0.007,0.192,0.216,0.0,0.0,10522.0,9870.0,1.0
dL[29],0.567,0.019,0.531,0.602,0.0,0.0,11322.0,10037.0,1.0
dL[30],0.19,0.006,0.178,0.201,0.0,0.0,10363.0,9440.0,1.0
