,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.672,0.026,0.625,0.723,0.0,0.0,18260.0,13402.0,1.0
Omega_m,0.284,0.009,0.268,0.301,0.0,0.0,34869.0,32471.0,1.0
M,1.437,3.836,-4.575,8.107,0.024,0.017,17878.0,12927.0,1.0
dL[0],0.872,0.037,0.804,0.94,0.0,0.0,26857.0,18925.0,1.0
dL[1],0.447,0.014,0.419,0.473,0.0,0.0,43746.0,36904.0,1.0
dL[2],0.512,0.017,0.48,0.544,0.0,0.0,41107.0,34457.0,1.0
dL[3],0.668,0.024,0.622,0.713,0.0,0.0,33274.0,25762.0,1.0
dL[4],0.179,0.006,0.168,0.19,0.0,0.0,24695.0,21121.0,1.0
dL[5],0.647,0.023,0.603,0.69,0.0,0.0,34355.0,26879.0,1.0
dL[6],0.528,0.018,0.494,0.561,0.0,0.0,40295.0,33290.0,1.0
dL[7],0.421,0.013,0.396,0.446,0.0,0.0,44024.0,37353.0,1.0
dL[8],0.387,0.012,0.363,0.41,0.0,0.0,43739.0,37519.0,1.0
dL[9],0.207,0.007,0.194,0.22,0.0,0.0,27057.0,24949.0,1.0
dL[10],0.452,0.015,0.424,0.479,0.0,0.0,43620.0,36734.0,1.0
dL[11],0.328,0.01,0.308,0.347,0.0,0.0,40961.0,36969.0,1.0
dL[12],0.584,0.02,0.546,0.622,0.0,0.0,37288.0,30584.0,1.0
dL[13],0.372,0.012,0.349,0.394,0.0,0.0,43395.0,37562.0,1.0
dL[14],0.421,0.013,0.396,0.446,0.0,0.0,44024.0,37353.0,1.0
dL[15],0.284,0.009,0.267,0.3,0.0,0.0,35835.0,34383.0,1.0
dL[16],0.631,0.023,0.589,0.673,0.0,0.0,35034.0,27562.0,1.0
dL[17],0.467,0.015,0.438,0.495,0.0,0.0,43196.0,36010.0,1.0
dL[18],0.785,0.031,0.728,0.844,0.0,0.0,28885.0,20964.0,1.0
dL[19],0.132,0.005,0.124,0.141,0.0,0.0,21882.0,17730.0,1.0
dL[20],0.59,0.021,0.551,0.628,0.0,0.0,37027.0,30347.0,1.0
dL[21],0.241,0.008,0.226,0.255,0.0,0.0,30471.0,29074.0,1.0
dL[22],0.377,0.012,0.354,0.399,0.0,0.0,43524.0,37648.0,1.0
dL[23],0.452,0.015,0.424,0.479,0.0,0.0,43620.0,36734.0,1.0
dL[24],0.548,0.019,0.513,0.583,0.0,0.0,39186.0,32279.0,1.0
dL[25],0.207,0.007,0.194,0.22,0.0,0.0,27057.0,24949.0,1.0
dL[26],0.298,0.009,0.28,0.316,0.0,0.0,37780.0,35681.0,1.0
dL[27],0.217,0.007,0.203,0.23,0.0,0.0,27968.0,26972.0,1.0
dL[28],0.684,0.025,0.636,0.73,0.0,0.0,32402.0,24465.0,1.0
dL[29],0.668,0.024,0.622,0.713,0.0,0.0,33274.0,25762.0,1.0
dL[30],0.332,0.01,0.312,0.352,0.0,0.0,41344.0,36885.0,1.0
