,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.699,0.003,0.695,0.702,0.0,0.0,565.0,479.0,1.0
Omega_m,0.291,0.013,0.269,0.31,0.001,0.0,405.0,264.0,1.01
dL[0],13.081,0.107,12.896,13.265,0.006,0.004,437.0,322.0,1.01
dL[1],14.142,0.119,13.938,14.348,0.006,0.004,435.0,319.0,1.01
dL[2],13.179,0.108,12.993,13.364,0.006,0.004,437.0,322.0,1.01
dL[3],5.987,0.032,5.932,6.042,0.002,0.001,481.0,354.0,1.01
dL[4],15.501,0.135,15.269,15.736,0.007,0.005,433.0,319.0,1.01
dL[5],14.544,0.124,14.331,14.758,0.006,0.005,434.0,319.0,1.01
dL[6],1.453,0.004,1.449,1.458,0.0,0.0,1794.0,1643.0,1.0
dL[7],1.449,0.004,1.445,1.455,0.0,0.0,1801.0,1705.0,1.0
dL[8],1.686,0.005,1.68,1.693,0.0,0.0,1361.0,1061.0,1.0
dL[9],8.215,0.053,8.125,8.307,0.003,0.002,455.0,335.0,1.01
dL[10],11.193,0.085,11.05,11.345,0.004,0.003,441.0,329.0,1.01
dL[11],3.559,0.014,3.538,3.583,0.001,0.0,572.0,382.0,1.01
dL[12],15.169,0.131,14.943,15.397,0.007,0.005,434.0,319.0,1.01
dL[13],6.1,0.033,6.044,6.157,0.002,0.001,479.0,354.0,1.01
dL[14],3.654,0.014,3.631,3.678,0.001,0.0,565.0,378.0,1.01
dL[15],6.024,0.032,5.968,6.079,0.002,0.001,481.0,354.0,1.01
dL[16],2.712,0.009,2.698,2.726,0.0,0.0,685.0,436.0,1.0
dL[17],2.526,0.008,2.514,2.538,0.0,0.0,728.0,457.0,1.0
dL[18],13.544,0.112,13.351,13.737,0.006,0.004,436.0,322.0,1.01
dL[19],7.805,0.049,7.722,7.89,0.003,0.002,459.0,341.0,1.01
dL[20],1.805,0.005,1.799,1.812,0.0,0.0,1165.0,949.0,1.0
dL[21],14.724,0.126,14.508,14.943,0.007,0.005,434.0,319.0,1.01
dL[22],5.416,0.027,5.369,5.461,0.001,0.001,492.0,367.0,1.01
dL[23],5.254,0.026,5.209,5.297,0.001,0.001,496.0,358.0,1.01
dL[24],3.184,0.011,3.167,3.203,0.001,0.0,610.0,405.0,1.0
dL[25],12.871,0.104,12.682,13.043,0.005,0.004,437.0,322.0,1.01
dL[26],1.135,0.003,1.131,1.138,0.0,0.0,2249.0,1919.0,1.0
dL[27],3.508,0.013,3.486,3.53,0.001,0.0,577.0,385.0,1.01
dL[28],4.071,0.017,4.045,4.102,0.001,0.001,538.0,367.0,1.01
dL[29],0.761,0.002,0.759,0.764,0.0,0.0,1672.0,1640.0,1.0
dL[30],6.41,0.036,6.349,6.471,0.002,0.001,475.0,360.0,1.01
dL[31],15.336,0.133,15.107,15.567,0.007,0.005,434.0,319.0,1.01
dL[32],5.675,0.029,5.624,5.724,0.001,0.001,487.0,354.0,1.01
dL[33],6.147,0.033,6.089,6.204,0.002,0.001,479.0,354.0,1.01
dL[34],5.597,0.029,5.547,5.645,0.001,0.001,488.0,354.0,1.01
dL[35],8.473,0.056,8.379,8.571,0.003,0.002,453.0,330.0,1.01
