,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.722,0.026,0.676,0.769,0.0,0.0,5372.0,4611.0,1.0
Omega_m,0.285,0.009,0.268,0.301,0.0,0.0,6976.0,7015.0,1.0
M,0.22,0.696,-0.899,1.397,0.014,0.013,4673.0,4288.0,1.0
dL[0],11.339,0.194,11.004,11.651,0.002,0.001,17127.0,11395.0,1.0
dL[1],9.251,0.155,8.992,9.512,0.001,0.001,14826.0,10973.0,1.0
dL[2],15.181,0.285,14.707,15.655,0.003,0.002,13027.0,8487.0,1.0
dL[3],34.539,0.897,32.993,36.052,0.013,0.009,7257.0,6456.0,1.0
dL[4],47.926,1.369,45.599,50.256,0.02,0.015,6783.0,6041.0,1.0
dL[5],21.958,0.48,21.165,22.794,0.006,0.004,8950.0,7294.0,1.0
dL[6],55.687,1.648,52.953,58.551,0.025,0.018,6645.0,5833.0,1.0
dL[7],14.833,0.276,14.377,15.294,0.003,0.002,13434.0,8823.0,1.0
dL[8],42.035,1.16,40.054,44.002,0.017,0.012,6937.0,6276.0,1.0
dL[9],17.962,0.361,17.365,18.578,0.004,0.003,10616.0,8186.0,1.0
dL[10],20.134,0.425,19.394,20.83,0.005,0.004,9556.0,8086.0,1.0
dL[11],48.189,1.378,45.847,50.535,0.02,0.015,6777.0,6035.0,1.0
dL[12],29.684,0.732,28.484,30.976,0.01,0.007,7630.0,6548.0,1.0
dL[13],25.532,0.594,24.557,26.577,0.008,0.006,8162.0,6964.0,1.0
dL[14],72.009,2.238,68.399,75.975,0.034,0.025,6480.0,5566.0,1.0
dL[15],0.353,0.012,0.332,0.375,0.0,0.0,5441.0,4615.0,1.0
dL[16],0.506,0.017,0.477,0.537,0.0,0.0,5469.0,4679.0,1.0
dL[17],0.55,0.018,0.518,0.583,0.0,0.0,5476.0,4675.0,1.0
dL[18],0.415,0.014,0.39,0.439,0.0,0.0,5455.0,4631.0,1.0
dL[19],0.491,0.016,0.463,0.521,0.0,0.0,5467.0,4659.0,1.0
dL[20],0.438,0.015,0.412,0.465,0.0,0.0,5458.0,4647.0,1.0
dL[21],0.349,0.012,0.327,0.37,0.0,0.0,5440.0,4607.0,1.0
dL[22],0.472,0.016,0.444,0.5,0.0,0.0,5464.0,4659.0,1.0
dL[23],0.472,0.016,0.444,0.5,0.0,0.0,5464.0,4659.0,1.0
dL[24],0.674,0.022,0.637,0.715,0.0,0.0,5505.0,4728.0,1.0
dL[25],0.266,0.009,0.249,0.282,0.0,0.0,5424.0,4605.0,1.0
dL[26],0.438,0.015,0.412,0.465,0.0,0.0,5458.0,4647.0,1.0
dL[27],0.339,0.011,0.318,0.36,0.0,0.0,5438.0,4623.0,1.0
dL[28],0.115,0.004,0.108,0.122,0.0,0.0,5393.0,4606.0,1.0
dL[29],0.335,0.011,0.314,0.355,0.0,0.0,5438.0,4610.0,1.0
dL[30],0.18,0.006,0.169,0.192,0.0,0.0,5405.0,4626.0,1.0
dL[31],0.243,0.008,0.228,0.258,0.0,0.0,5417.0,4614.0,1.0
dL[32],0.462,0.015,0.435,0.49,0.0,0.0,5462.0,4647.0,1.0
dL[33],0.377,0.013,0.354,0.399,0.0,0.0,5446.0,4615.0,1.0
dL[34],0.302,0.01,0.284,0.321,0.0,0.0,5430.0,4610.0,1.0
dL[35],0.252,0.009,0.236,0.268,0.0,0.0,5420.0,4606.0,1.0
dL[36],0.405,0.014,0.38,0.429,0.0,0.0,5451.0,4631.0,1.0
dL[37],0.23,0.008,0.215,0.244,0.0,0.0,5415.0,4614.0,1.0
dL[38],0.453,0.015,0.426,0.48,0.0,0.0,5461.0,4647.0,1.0
dL[39],0.307,0.01,0.288,0.326,0.0,0.0,5431.0,4610.0,1.0
dL[40],0.644,0.021,0.608,0.683,0.0,0.0,5499.0,4720.0,1.0
dL[41],0.53,0.017,0.5,0.563,0.0,0.0,5473.0,4679.0,1.0
dL[42],0.377,0.013,0.354,0.399,0.0,0.0,5446.0,4615.0,1.0
dL[43],0.54,0.018,0.509,0.573,0.0,0.0,5475.0,4679.0,1.0
dL[44],0.335,0.011,0.314,0.355,0.0,0.0,5438.0,4610.0,1.0
dL[45],0.664,0.021,0.627,0.704,0.0,0.0,5503.0,4720.0,1.0
dL[46],0.335,0.011,0.314,0.355,0.0,0.0,5438.0,4610.0,1.0
dL[47],0.472,0.016,0.444,0.5,0.0,0.0,5464.0,4659.0,1.0
dL[48],0.41,0.014,0.385,0.434,0.0,0.0,5454.0,4631.0,1.0
dL[49],0.574,0.019,0.542,0.609,0.0,0.0,5482.0,4675.0,1.0
dL[50],0.381,0.013,0.358,0.404,0.0,0.0,5447.0,4615.0,1.0
dL[51],0.15,0.005,0.14,0.159,0.0,0.0,5399.0,4615.0,1.0
dL[52],0.302,0.01,0.284,0.321,0.0,0.0,5430.0,4610.0,1.0
dL[53],0.335,0.011,0.314,0.355,0.0,0.0,5438.0,4610.0,1.0
dL[54],0.438,0.015,0.412,0.465,0.0,0.0,5458.0,4647.0,1.0
dL[55],0.589,0.019,0.556,0.625,0.0,0.0,5486.0,4675.0,1.0
dL[56],0.102,0.004,0.095,0.108,0.0,0.0,5390.0,4606.0,1.0
dL[57],0.429,0.014,0.403,0.455,0.0,0.0,5457.0,4647.0,1.0
dL[58],0.372,0.013,0.349,0.394,0.0,0.0,5445.0,4615.0,1.0
